col,family,n_assets_present,mean_missing_frac,mean_of_means,mean_of_stds,n_constant_assets
bd_bgf_imbalance_l1,bd,73,0.2441,1.209271753573363,0.36728419834309367,0
bd_depth_at_02pct,bd,104,0.3558,NaN,NaN,0
bd_depth_l1pct_mean,bd,104,0.3558,NaN,NaN,0
bd_depth_l1pct_p90,bd,104,0.3558,NaN,NaN,0
bd_imbalance_l1,bd,104,0.3558,NaN,NaN,0
bd_imbalance_l5,bd,104,0.3558,NaN,NaN,0
bd_n_snapshots,bd,104,0.3558,NaN,NaN,0
bd_notional_l1pct_mean,bd,104,0.3558,NaN,NaN,0
bd_notional_skew,bd,104,0.3558,NaN,NaN,0
bd_thin_book_frac,bd,104,0.3592,NaN,NaN,30
bd_total_depth_l5_mean,bd,104,0.3558,NaN,NaN,0
bd_total_depth_l5_p10,bd,104,0.3558,NaN,NaN,0
bs_basis_bear_shock,bs,104,0.326,NaN,NaN,0
bs_basis_bull_shock,bs,104,0.326,NaN,NaN,0
bs_basis_delta_1d,bs,104,0.3269,NaN,NaN,0
bs_basis_delta_3d,bs,104,0.3286,NaN,NaN,0
bs_basis_frenzy,bs,104,0.326,NaN,NaN,46
bs_basis_panic,bs,104,0.326,NaN,NaN,8
bs_basis_pct,bs,104,0.326,NaN,NaN,0
bs_basis_xsec_z,bs,104,0.326,NaN,NaN,0
bs_basis_z30,bs,104,0.3347,NaN,NaN,0
dv_dvol_close,dv,104,0.9844,NaN,NaN,0
dv_dvol_high,dv,104,0.9844,NaN,NaN,0
dv_dvol_low,dv,104,0.9844,NaN,NaN,0
etf_any_inflow_shock,etf,104,0.2886,0.08720974407150112,0.2809995457243251,0
etf_both_inflow_shock,etf,104,0.2886,0.007863123292139338,0.08138238993787367,15
etf_btc_etf_inflow_shock,etf,104,0.2886,0.05944755956949222,0.23609861113100006,0
etf_btc_etf_mega_inflow,etf,104,0.2886,0.1039471913724514,0.303459357731,0
etf_btc_etf_mega_outflow,etf,104,0.2886,0.038023988029712644,0.18594090279958572,4
etf_btc_etf_outflow_shock,etf,104,0.2886,0.023600942081306205,0.14710467128479227,6
etf_btc_etf_total_7d_z,etf,104,0.2955,0.1413463086650196,1.3346349736657932,0
etf_btc_etf_total_usdm,etf,104,0.2886,85.11340349790915,337.52908773185635,0
etf_btc_etf_total_z30,etf,104,0.2939,0.07426923862183848,1.1433712414274753,0
