col,family,n_assets_present,mean_missing_frac,mean_of_means,mean_of_stds,n_constant_assets
bd_bgf_imbalance_l1,bd,73,0.2403,1.242482292588104,0.40338031913753736,0
bd_depth_at_02pct,bd,77,0.2423,NaN,NaN,0
bd_depth_l1pct_mean,bd,77,0.2423,NaN,NaN,0
bd_depth_l1pct_p90,bd,77,0.2423,NaN,NaN,0
bd_imbalance_l1,bd,77,0.2423,NaN,NaN,0
bd_imbalance_l5,bd,77,0.2423,NaN,NaN,0
bd_n_snapshots,bd,77,0.2423,NaN,NaN,0
bd_notional_l1pct_mean,bd,77,0.2423,NaN,NaN,0
bd_notional_skew,bd,77,0.2423,NaN,NaN,0
bd_thin_book_frac,bd,77,0.2455,NaN,NaN,26
bd_total_depth_l5_mean,bd,77,0.2423,NaN,NaN,0
bd_total_depth_l5_p10,bd,77,0.2423,NaN,NaN,0
bs_basis_bear_shock,bs,77,0.083,0.03720412745780979,0.18865357605866834,0
bs_basis_bull_shock,bs,77,0.083,0.03574135667832744,0.18503444897793797,0
bs_basis_delta_1d,bs,77,0.0842,0.0010796474802617668,0.2739696577939533,0
bs_basis_delta_3d,bs,77,0.0867,0.000586189103456902,0.2740332713206564,0
bs_basis_frenzy,bs,77,0.083,0.002363058702975765,0.02526910340467491,46
bs_basis_panic,bs,77,0.083,0.01974689285800845,0.1133456647588694,8
bs_basis_pct,bs,77,0.083,-0.009773686685938622,0.19386301466649686,0
bs_basis_xsec_z,bs,77,0.083,0.00044290996731934914,0.9311238216181237,0
bs_basis_z30,bs,77,0.0952,0.0016289205297322867,1.0946790423320643,0
dv_dvol_close,dv,77,0.9789,NaN,NaN,0
dv_dvol_high,dv,77,0.9789,NaN,NaN,0
dv_dvol_low,dv,77,0.9789,NaN,NaN,0
etf_any_inflow_shock,etf,77,0.3266,0.09189431372858207,0.28844559228571215,0
etf_both_inflow_shock,etf,77,0.3266,0.008551126797551536,0.08748973798021767,7
etf_btc_etf_inflow_shock,etf,77,0.3266,0.06194108361622804,0.24095272012264407,0
etf_btc_etf_mega_inflow,etf,77,0.3266,0.11050977794067854,0.31279049126367064,0
etf_btc_etf_mega_outflow,etf,77,0.3266,0.03981798397877656,0.19395144396435615,0
etf_btc_etf_outflow_shock,etf,77,0.3266,0.025417420730220366,0.1572695530148005,0
etf_btc_etf_total_7d_z,etf,77,0.3343,0.0733423897747097,1.333344323926722,0
etf_btc_etf_total_usdm,etf,77,0.3266,81.85505635458286,344.8888865510303,0
etf_btc_etf_total_z30,etf,77,0.3326,0.03892055137647777,1.1593001970612773,0
etf_eth_etf_inflow_shock,etf,77,0.4175,0.047274149465426296,0.2075575173601748,0
etf_eth_etf_outflow_shock,etf,77,0.4175,0.012159454701350087,0.10948505298421266,0
etf_eth_etf_total_usdm,etf,77,0.4175,19.399743721908962,148.24298250030733,0
etf_eth_etf_total_z30,etf,77,0.4245,0.1444791315002016,1.1972862775510156,0
fund_avg_apr,fund,77,0.0661,NaN,NaN,0
fund_extreme_long_count,fund,77,0.0661,NaN,NaN,19
fund_extreme_short_count,fund,77,0.0661,NaN,NaN,2
fund_n_settlements,fund,77,0.0661,NaN,NaN,17
fund_rate_abs_mean,fund,77,0.0661,NaN,NaN,0
fund_rate_max,fund,77,0.0661,NaN,NaN,0
fund_rate_mean,fund,77,0.0661,NaN,NaN,0
fund_rate_min,fund,77,0.0661,NaN,NaN,0
fund_rate_z30,fund,77,0.0692,NaN,NaN,0
fund_sign_flip,fund,77,0.0661,NaN,NaN,0
hbr_eta_buy,hbr,77,0.0004,0.8041865076990173,0.08733287082204398,0
hbr_eta_imbalance,hbr,77,0.0004,0.0007423926475462168,0.04762453809593903,0
hbr_eta_sell,hbr,77,0.0004,0.8034441150514712,0.0901413689596589,0
hbr_eta_total,hbr,77,0.0004,0.8443107046086116,0.07414299700574818,0
hbr_n_trades,hbr,77,0.0004,130600.5915265713,176278.88262303712,0
liq_capitulation,liq,77,0.0627,0.03877487641296923,0.17996970245593183,4
liq_delta_usd,liq,77,0.0515,-197313.87028183052,2205857.965851205,0
liq_delta_z30,liq,77,0.0627,0.019881664311864278,1.003358157544838,0
liq_long_spike,liq,77,0.0627,0.05018915613680973,0.20511994293236155,4
liq_long_usd,liq,77,0.0515,5947457.407140473,9481332.937004203,3
liq_long_xsec_z,liq,77,0.0515,-0.1078309243288423,0.18526270741112702,0
liq_long_z30,liq,77,0.0627,0.017541663938210977,0.9517902572348996,3
liq_short_panic,liq,77,0.0627,0.04349587508501363,0.1946949021383845,1
liq_short_spike,liq,77,0.0627,0.05386871041473243,0.21681214628549692,1
liq_short_usd,liq,77,0.0515,5750143.5368586425,9583347.627706574,1
liq_short_xsec_z,liq,77,0.0515,-0.10767778602691665,0.18534398906025665,0
liq_short_z30,liq,77,0.0627,0.025126760203933143,1.008964535262574,1
liq_total_usd,liq,77,0.0515,11697600.943999115,18887012.802401748,0
lob_bgf_count_imb_mean,lob,77,0.9812,0.04194225074170533,0.18195440426840312,0
lob_bgf_kyle_lambda_mean,lob,77,0.9812,0.098555197492441,4.309750074980178,0
lob_bgf_l1_imb_mean,lob,77,0.9812,0.08483513150781131,0.2122277419227589,0
lob_bgf_spread_bps_mean,lob,77,0.9812,2.5476551918388637,4.215760836086792,0
lob_bgf_top_pressure_mean,lob,77,0.9812,0.13765296427983428,0.6244518852453896,0
lob_count_imb_mean,lob,77,0.8662,0.042590377331246085,0.12832029250204674,0
lob_kyle_lambda_abs_max,lob,77,0.8662,10.574168195000546,11.435221417988998,0
lob_kyle_lambda_mean,lob,77,0.8662,0.18760596242294061,2.0229796809296867,0
lob_l1_imb_mean,lob,77,0.8662,0.0733282363403328,0.15158895401108627,0
lob_l1_imb_std,lob,77,0.8663,0.2593118467819668,0.14336856288731978,0
lob_l5_imb_mean,lob,77,0.8662,0.04255819745461268,0.17786459789426098,0
lob_l5_imb_std,lob,77,0.8663,0.2999440720376535,0.15626145840851133,0
lob_n_bars,lob,77,0.8662,21.82665267187327,25.759452222828372,0
lob_run_length_p50,lob,77,0.8662,23.43961789315015,24.700098465569752,0
lob_spread_bps_mean,lob,77,0.8662,3.189061004622769,2.818858006797482,0
lob_spread_bps_p90,lob,77,0.8662,6.110244948348526,5.556596096011194,0
lob_top_pressure_mean,lob,77,0.8662,0.13418300923886636,0.43845327366788034,0
mv_days_since_listed_binance,mv,77,0.2895,NaN,NaN,0
mv_days_since_listed_bybit,mv,77,0.564,NaN,NaN,0
mv_days_since_listed_okx,mv,77,0.3577,NaN,NaN,0
mv_is_multi_venue,mv,77,0.2368,NaN,NaN,62
mv_n_venues_listed,mv,77,0.2368,NaN,NaN,50
norm_bar_duration,norm,77,0.0,0.4631620474919296,0.740085184745548,0
norm_cs_spread,norm,77,0.0,0.11927311487847835,0.9601534873327127,0
norm_deviation,norm,77,0.0,0.008296794064441218,1.0086221928876904,0
norm_efficiency,norm,77,0.0,-0.14927977218140434,0.9396357151539152,0
norm_fd_close,norm,77,0.0,-0.012162081139507269,0.9741147929714105,0
norm_flow_imbalance,norm,77,0.0,0.006750892006288816,0.8581285447682022,0
norm_flow_persistence,norm,77,0.0,-0.05812725634332279,1.078230780497705,0
norm_funding,norm,77,0.0,-0.002726045534968838,0.7700368832387927,1
norm_funding_momentum,norm,77,0.0,-0.005445890263522353,0.5310125399148231,1
norm_hawkes_buy_intensity,norm,77,0.0,-0.1674131755056659,0.6353497395573129,0
norm_hawkes_imbalance,norm,77,0.0,0.0036456839546734785,0.6366146665037407,0
norm_hawkes_intensity,norm,77,0.0,-0.19998094718783982,0.6297775364618547,0
norm_hawkes_sell_intensity,norm,77,0.0,-0.16979117249041473,0.6318342647579278,0
norm_hl_spread,norm,77,0.0,0.07196168731274417,0.9229295198000295,0
norm_kyle_lambda,norm,77,0.0,-0.0010114621556520946,1.175870823556745,0
norm_log_volume,norm,77,0.0,0.08577226341642566,0.781529363819785,0
norm_ma_distance,norm,77,0.0,-0.0015192137224838503,1.2181574896126712,0
norm_momentum_accel,norm,77,0.0,0.0060177945004702,0.9914893512099195,0
norm_oi_change,norm,77,0.0,0.0015230734664353344,0.748202548385615,1
norm_oi_price_divergence,norm,77,0.0,0.09427509064036355,0.8577574045680019,1
norm_perm_entropy,norm,77,0.0,-0.06679626151031764,1.2489856273246394,0
norm_return_1,norm,77,0.0,0.008700438856044431,0.9676953863164878,0
norm_return_16,norm,77,0.0,0.010797479400447866,0.9671789884823209,0
norm_return_4,norm,77,0.0,0.012541211184868912,0.9483782505905365,0
norm_return_kurtosis,norm,77,0.0,0.006437093388998024,1.17747910750081,0
norm_spread_bps,norm,77,0.0,-0.03230037450533863,0.8802601747117728,0
norm_tick_count,norm,77,0.0,0.22314837355185974,1.00448643852463,0
norm_vol_cluster,norm,77,0.0,-0.012475764572422438,1.1220596432527603,0
norm_vol_price_corr,norm,77,0.0,-0.004194614904201936,1.0679420348401822,0
norm_vol_ratio,norm,77,0.0,0.06879257603693775,0.9493698252814297,0
norm_vpin,norm,77,0.0,-0.17296057057481187,0.8632446587415172,0
norm_whale,norm,77,0.0,-0.1553938065208566,0.5784061779997476,0
norm_yz_volatility,norm,77,0.0,0.0011293069869849337,1.0623052790713905,0
bar_id,other,77,0.0,872707.5265362154,427715.60596756067,0
buy_vol,other,77,0.0,49148.08408574198,23286.16841716907,0
close,other,77,0.0,693.1735363798535,437.9535985912816,0
date,other,77,0.0,19885.359508896567,408.2521938950918,0
fp_fund_panel,other,77,0.0661,NaN,NaN,0
high,other,77,0.0,693.5361700685504,438.09953389240303,0
hurst_regime,other,77,0.0,-0.10640974622978239,1.308104899983884,0
is_u10,other,77,0.0,0.12987012987012986,0.0,77
is_u100,other,77,0.0,1.0,0.0,77
is_u50,other,77,0.0,0.6233766233766234,0.0,77
low,other,77,0.0,692.8055261142205,437.81120113352085,0
open,other,77,0.0,693.1693753060638,437.95527387608865,0
regime_label,other,77,0.0,0.9285056816678504,0.8426040582770051,0
returns_clean,other,77,0.0,0.000010621864993394412,0.0031444062301917933,0
