col,family,n_assets_present,mean_missing_frac,mean_of_means,mean_of_stds,n_constant_assets
bd_bgf_imbalance_l1,bd,73,0.2439,1.2327190354705058,0.38968290069786443,0
bd_depth_at_02pct,bd,104,0.355,NaN,NaN,0
bd_depth_l1pct_mean,bd,104,0.355,NaN,NaN,0
bd_depth_l1pct_p90,bd,104,0.355,NaN,NaN,0
bd_imbalance_l1,bd,104,0.355,NaN,NaN,0
bd_imbalance_l5,bd,104,0.355,NaN,NaN,0
bd_n_snapshots,bd,104,0.355,NaN,NaN,0
bd_notional_l1pct_mean,bd,104,0.355,NaN,NaN,0
bd_notional_skew,bd,104,0.355,NaN,NaN,0
bd_thin_book_frac,bd,104,0.3582,NaN,NaN,30
bd_total_depth_l5_mean,bd,104,0.355,NaN,NaN,0
bd_total_depth_l5_p10,bd,104,0.355,NaN,NaN,0
bs_basis_bear_shock,bs,104,0.325,NaN,NaN,0
bs_basis_bull_shock,bs,104,0.325,NaN,NaN,0
bs_basis_delta_1d,bs,104,0.3258,NaN,NaN,0
bs_basis_delta_3d,bs,104,0.3276,NaN,NaN,0
bs_basis_frenzy,bs,104,0.325,NaN,NaN,46
bs_basis_panic,bs,104,0.325,NaN,NaN,8
bs_basis_pct,bs,104,0.325,NaN,NaN,0
bs_basis_xsec_z,bs,104,0.325,NaN,NaN,0
bs_basis_z30,bs,104,0.3336,NaN,NaN,0
dv_dvol_close,dv,104,0.9844,NaN,NaN,0
dv_dvol_high,dv,104,0.9844,NaN,NaN,0
dv_dvol_low,dv,104,0.9844,NaN,NaN,0
etf_any_inflow_shock,etf,104,0.2879,0.08748448743293483,0.28142694671449753,0
etf_both_inflow_shock,etf,104,0.2879,0.007895157446893064,0.08155187686951187,15
etf_btc_etf_inflow_shock,etf,104,0.2879,0.05960042156864956,0.23638853337361682,0
etf_btc_etf_mega_inflow,etf,104,0.2879,0.10442322524280258,0.3041291169186609,0
etf_btc_etf_mega_outflow,etf,104,0.2879,0.03781595814360593,0.1853184754817178,4
etf_btc_etf_outflow_shock,etf,104,0.2879,0.023442443489867924,0.14661631928143787,6
etf_btc_etf_total_7d_z,etf,104,0.2948,0.14100510964660373,1.33540407719668,0
etf_btc_etf_total_usdm,etf,104,0.2879,85.79764669872074,337.5741426202969,0
etf_btc_etf_total_z30,etf,104,0.2932,0.07460806080036615,1.1439917431950515,0
etf_eth_etf_inflow_shock,etf,104,0.3709,0.04331501651134124,0.19483585149365046,4
etf_eth_etf_outflow_shock,etf,104,0.3709,0.011023401512406612,0.10116557534183876,6
etf_eth_etf_total_usdm,etf,104,0.3709,19.89635165237467,143.7040134869638,0
etf_eth_etf_total_z30,etf,104,0.3776,0.16946736405476856,1.166583822366864,0
fund_avg_apr,fund,77,0.0723,NaN,NaN,0
fund_extreme_long_count,fund,77,0.0723,NaN,NaN,19
fund_extreme_short_count,fund,77,0.0723,NaN,NaN,2
fund_n_settlements,fund,77,0.0723,NaN,NaN,17
fund_rate_abs_mean,fund,77,0.0723,NaN,NaN,0
fund_rate_max,fund,77,0.0723,NaN,NaN,0
fund_rate_mean,fund,77,0.0723,NaN,NaN,0
fund_rate_min,fund,77,0.0723,NaN,NaN,0
fund_rate_z30,fund,77,0.075,NaN,NaN,0
fund_sign_flip,fund,77,0.0723,NaN,NaN,0
hbr_eta_buy,hbr,104,0.2503,NaN,NaN,0
hbr_eta_imbalance,hbr,104,0.2503,NaN,NaN,0
hbr_eta_sell,hbr,104,0.2503,NaN,NaN,0
hbr_eta_total,hbr,104,0.2503,NaN,NaN,0
hbr_n_trades,hbr,104,0.2503,NaN,NaN,0
liq_capitulation,liq,104,0.2997,NaN,NaN,4
liq_delta_usd,liq,104,0.2921,NaN,NaN,0
liq_delta_z30,liq,104,0.2997,NaN,NaN,0
liq_long_spike,liq,104,0.2997,NaN,NaN,4
liq_long_usd,liq,104,0.2921,NaN,NaN,3
liq_long_xsec_z,liq,104,0.2921,NaN,NaN,0
liq_long_z30,liq,104,0.2997,NaN,NaN,3
liq_short_panic,liq,104,0.2997,NaN,NaN,1
liq_short_spike,liq,104,0.2997,NaN,NaN,1
liq_short_usd,liq,104,0.2921,NaN,NaN,1
liq_short_xsec_z,liq,104,0.2921,NaN,NaN,0
liq_short_z30,liq,104,0.2997,NaN,NaN,1
liq_total_usd,liq,104,0.2921,NaN,NaN,0
lob_bgf_count_imb_mean,lob,77,0.9851,0.04459616345757122,0.18037278342153687,0
lob_bgf_kyle_lambda_mean,lob,77,0.9851,-0.10568582464028926,2.7331238357123047,0
lob_bgf_l1_imb_mean,lob,77,0.9851,0.08990154763027855,0.2135625913837955,0
lob_bgf_spread_bps_mean,lob,77,0.9851,2.345312369023627,3.7721571268011678,0
lob_bgf_top_pressure_mean,lob,77,0.9851,0.15667554696315958,0.633247885488374,0
lob_count_imb_mean,lob,104,0.8755,NaN,NaN,0
lob_kyle_lambda_abs_max,lob,104,0.8755,NaN,NaN,0
lob_kyle_lambda_mean,lob,104,0.8755,NaN,NaN,0
lob_l1_imb_mean,lob,104,0.8755,NaN,NaN,0
lob_l1_imb_std,lob,104,0.8756,NaN,NaN,0
lob_l5_imb_mean,lob,104,0.8755,NaN,NaN,0
lob_l5_imb_std,lob,104,0.8756,NaN,NaN,0
lob_n_bars,lob,104,0.8755,NaN,NaN,0
lob_run_length_p50,lob,104,0.8755,NaN,NaN,0
lob_spread_bps_mean,lob,104,0.8755,NaN,NaN,0
lob_spread_bps_p90,lob,104,0.8755,NaN,NaN,0
lob_top_pressure_mean,lob,104,0.8755,NaN,NaN,0
mv_days_since_listed_binance,mv,104,0.289,NaN,NaN,0
mv_days_since_listed_bybit,mv,104,0.5713,NaN,NaN,0
mv_days_since_listed_okx,mv,104,0.4316,NaN,NaN,0
mv_is_multi_venue,mv,104,0.249,NaN,NaN,80
mv_n_venues_listed,mv,104,0.249,NaN,NaN,68
norm_bar_duration,norm,104,0.0,0.5076665298937416,0.7342345843332497,0
norm_cs_spread,norm,104,0.0,0.14124764893232403,0.9492410670322682,0
norm_deviation,norm,104,0.0,-0.0006764608498731968,0.9885605022026289,0
norm_efficiency,norm,104,0.0,-0.1677010374329493,0.9299458743294533,0
norm_fd_close,norm,104,0.0,-0.02796922482509701,0.9474518492229523,0
norm_flow_imbalance,norm,104,0.0,0.006377768423773038,0.8559041978738127,0
norm_flow_persistence,norm,104,0.0,-0.06209534655377921,1.0791865996612975,0
norm_funding,norm,104,0.0,0.010344703020091252,0.5851990337991716,4
norm_funding_momentum,norm,104,0.0,-0.004187952269025987,0.3174410950917629,4
norm_hawkes_buy_intensity,norm,104,0.0,-0.17527615189220835,0.623141733563535,0
norm_hawkes_imbalance,norm,104,0.0,0.005275500258117004,0.6276833440299101,0
norm_hawkes_intensity,norm,104,0.0,-0.20886667591187744,0.6190582235122992,0
norm_hawkes_sell_intensity,norm,104,0.0,-0.17995868462395356,0.6168562800659039,0
norm_hl_spread,norm,104,0.0,0.05222297192618274,0.9043613573844168,0
norm_kyle_lambda,norm,104,0.0,-0.01411131550710454,1.1798725877510259,0
norm_log_volume,norm,104,0.0,0.11526719451563859,0.7874946102946784,0
norm_ma_distance,norm,104,0.0,-0.015334784236467065,1.2014304204885897,0
norm_momentum_accel,norm,104,0.0,0.010580019449675513,0.9733088152160322,0
norm_oi_change,norm,104,0.0,0.00490225384108851,0.7319720495691248,4
norm_oi_price_divergence,norm,104,0.0,0.12679608195480851,0.8514179925519471,4
norm_perm_entropy,norm,104,0.0,-0.0691389630874936,1.2479048635840628,0
norm_return_1,norm,104,0.0,0.009853095927462342,0.9407077367770168,0
norm_return_16,norm,104,0.0,0.005779714788784545,0.9471341224491808,0
norm_return_4,norm,104,0.0,0.01421105748438186,0.9192305602117725,0
norm_return_kurtosis,norm,104,0.0,0.007419624872644754,1.1805845538889588,0
norm_spread_bps,norm,104,0.0,-0.07203167249020903,0.8519910942910964,0
norm_tick_count,norm,104,0.0,0.2416322966854299,1.020786349109414,0
norm_vol_cluster,norm,104,0.0,-0.02594089703768472,1.1181129231859723,0
norm_vol_price_corr,norm,104,0.0,-0.00425697958775311,1.0703380295005813,0
norm_vol_ratio,norm,104,0.0,0.045442961532698126,0.94345763450956,0
norm_vpin,norm,104,0.0,-0.1810694726365882,0.8631598155047715,0
norm_whale,norm,104,0.0,-0.15963306965113044,0.5881659158711462,0
norm_yz_volatility,norm,104,0.0,-0.01992411563792932,1.0608812139218056,0
bar_id,other,104,0.0,818472.5009143569,376881.8787578717,0
buy_vol,other,104,0.0,43273.39435395876,20057.94241849743,0
close,other,104,0.0,557.8331851788029,324.9883395298662,0
date,other,104,0.0,19956.790845790394,368.8135816533881,0
fp_fund_panel,other,104,0.2364,NaN,NaN,0
high,other,104,0.0,558.1192070504834,325.0864423931743,0
hurst_regime,other,104,0.0,-0.11748955520080374,1.303744490878357,0
is_u10,other,104,0.0,0.09615384615384616,0.0,104
is_u100,other,104,0.0,0.7403846153846154,0.0,104
is_u50,other,104,0.0,0.46153846153846156,0.0,104
low,other,104,0.0,557.5508561657578,324.8942742454734,0
open,other,104,0.0,557.8364416905902,324.9923529675879,0
regime_label,other,104,0.0,0.887692251267141,0.8332294765829461,0
returns_clean,other,104,0.0,-0.000015212407724373799,0.00366512459858018,0
sell_vol,other,104,0.0,44416.46322386214,19992.262212429578,0
tick_count,other,104,0.0,334.4544802688533,205.8614347252364,0
tick_seq,other,104,0.0,0.004108003935119852,0.06844240937393092,8
timestamp,other,104,0.0,1724316405027.8865,31865245841.206192,0
volume,other,104,0.0,746501683.7361938,681628496.645012,0
volume_usd,other,104,0.0,87689.8575778209,14104.975019833682,0
premium_apr,premium,77,0.0883,-3.778407630449247,74.32169260781737,0
premium_extreme_count30,premium,77,0.0929,12.684052978792192,4.706172152824751,0
premium_persistence30,premium,77,0.0941,-0.03418487470564433,0.1732166172596697,0
premium_vol30,premium,77,0.0929,0.1833684623791735,0.08261263284483325,0
premium_z90,premium,77,0.0988,-0.0006753507882819855,1.0273513850991989,0
rv_bpv_5m,rv,104,0.2503,NaN,NaN,0
rv_jump_count,rv,104,0.2503,NaN,NaN,0
rv_jump_frac,rv,104,0.2503,NaN,NaN,0
rv_jump_signed_var,rv,104,0.2503,NaN,NaN,0
rv_jv_5m,rv,104,0.2503,NaN,NaN,0
rv_rv_5m,rv,104,0.2503,NaN,NaN,0
s3_global_lsr,s3,104,0.4341,NaN,NaN,0
s3_global_lsr_z,s3,104,0.4394,NaN,NaN,0
s3_oi_usd,s3,104,0.4318,NaN,NaN,0
s3_smart_bearish,s3,104,0.4318,NaN,NaN,0
s3_smart_bullish,s3,104,0.4318,NaN,NaN,0
s3_smart_extreme_long,s3,104,0.4318,NaN,NaN,8
s3_smart_extreme_short,s3,104,0.4318,NaN,NaN,67
s3_smart_vs_retail,s3,104,0.4715,NaN,NaN,0
s3_smart_vs_retail_z,s3,104,0.4816,NaN,NaN,0
s3_taker_lsr,s3,104,0.4475,NaN,NaN,0
s3_top_acct_lsr,s3,104,0.4715,NaN,NaN,0
s3_top_pos_lsr,s3,104,0.4715,NaN,NaN,0
s3_top_pos_lsr_xsec_z,s3,104,0.4715,NaN,NaN,0
s3_top_pos_lsr_z,s3,104,0.4816,NaN,NaN,0
soc_wiki_views,soc,104,0.9624,NaN,NaN,0
stbl_compound_shock,stbl,104,0.0004,0.017847881524474658,0.13167891653582856,0
stbl_dai_zscore_30d,stbl,104,0.0004,0.013234753311209602,1.741653486805347,0
stbl_stable_crash,stbl,104,0.0004,0.029265389247948064,0.16797133786170598,0
stbl_stable_shock,stbl,104,0.0004,0.03571918429734717,0.18497572227824952,0
stbl_stable_shock_strong,stbl,104,0.0004,0.01232066547256048,0.10654646435782335,6
stbl_total_delta_30d_pct,stbl,104,0.0004,0.03430082436942794,0.05098384330092445,0
stbl_total_delta_7d_pct,stbl,104,0.0004,0.007461116337742153,0.015087203289747057,0
stbl_total_zscore_30d,stbl,104,0.0004,-0.009089724387898313,1.2789925752271236,0
stbl_usdc_zscore_30d,stbl,104,0.0004,-0.038268923259428225,1.2926707804009756,0
stbl_usde_zscore_30d,stbl,104,0.2773,-0.026866595387775322,2.123605564880222,0
stbl_usdt_delta_7d_pct,stbl,104,0.0004,0.006952791335702927,0.015008223931668698,0
stbl_usdt_shock,stbl,104,0.0004,0.06489975907492905,0.24604411208041435,0
stbl_usdt_zscore_30d,stbl,104,0.0004,-35.64564889173437,1574.5401663294963,0
target_return_1,target,104,0.0002,-0.00003938264818308652,0.01926747003127372,0
target_return_16,target,104,0.0023,-0.00009695214597424439,0.07586874572683541,0
target_return_16_raw,target,104,0.0026,0.0007778913211607925,0.08294844439681166,0
target_return_1_raw,target,104,0.0004,0.00003516716784407196,0.02036759850731636,0
target_return_4,target,104,0.0006,0.00007199527348675693,0.039420345551884006,0
target_return_4_raw,target,104,0.0008,0.00016077107896569898,0.0406187201288381,0
target_return_50,target,103,0.0,0.008994759862089101,1.7812145734741163,0
target_return_64,target,104,0.0093,-0.003576473512219771,0.13928903687622424,0
target_return_64_raw,target,104,0.0102,0.004092277343018076,0.17490208376748753,0
