cadence,year,slice,days,n_top_in_position,n_ranked,oracle_ma_modal,modal_fast,modal_slow,modal_count,mean_capture_rate,mean_captured_return,dna_top5
15m,2020,W1,1-7,4,5,"EMA(5,50)",5,50,1,0.117,0.0052,"EMA(5,50):1; EMA(20,100):1; SMA(5,20):1; SMA(20,50):1"
15m,2020,W2,8-14,9,9,"SMA(20,50)",20,50,4,0.4975,0.1628,"SMA(20,50):4; SMA(10,50):1; SMA(10,20):1; SMA(5,50):1; EMA(5,20):1"
15m,2020,W3,15-21,15,15,"SMA(10,20)",10,20,3,0.2391,0.0201,"SMA(10,20):3; SMA(10,50):3; EMA(5,20):2; SMA(20,50):2; EMA(20,100):1"
15m,2020,W4,22-28,15,15,"EMA(20,100)",20,100,4,0.5276,0.0916,"EMA(20,100):4; SMA(5,20):2; SMA(20,100):2; SMA(10,100):1; EMA(5,100):1"
15m,2021,W1,1-7,15,25,"EMA(20,100)",20,100,6,0.3795,0.1376,"EMA(20,100):6; SMA(5,100):2; SMA(10,20):2; SMA(10,100):1; SMA(5,20):1"
15m,2021,W2,8-14,22,25,"EMA(20,100)",20,100,3,0.4135,0.1941,"EMA(20,100):3; SMA(20,50):3; EMA(5,100):2; SMA(5,20):2; SMA(20,100):2"
15m,2021,W3,15-21,3,25,"SMA(20,50)",20,50,2,0.04,-0.018,"SMA(20,50):2; EMA(20,100):1"
15m,2021,W4,22-28,25,25,"SMA(5,50)",5,50,6,0.3582,0.199,"SMA(5,50):6; SMA(10,50):4; EMA(5,50):3; SMA(20,50):2; SMA(20,100):2"
15m,2022,W1,1-7,11,25,"SMA(20,50)",20,50,3,0.1927,0.0199,"SMA(20,50):3; SMA(10,50):3; EMA(5,50):1; SMA(5,20):1; SMA(10,100):1"
15m,2022,W2,8-14,24,25,"SMA(5,100)",5,100,4,0.1306,0.0234,"SMA(5,100):4; SMA(20,50):4; SMA(5,50):3; SMA(5,20):3; EMA(5,20):3"
15m,2022,W3,15-21,2,25,"EMA(10,100)",10,100,1,0.1674,0.0367,"EMA(10,100):1; SMA(20,50):1"
15m,2022,W4,22-28,25,25,"SMA(20,100)",20,100,4,0.1924,0.0303,"SMA(20,100):4; EMA(10,100):4; SMA(5,50):3; EMA(5,20):3; EMA(10,20):2"
15m,2023,W1,1-7,23,25,"SMA(10,100)",10,100,4,0.2816,0.0516,"SMA(10,100):4; EMA(20,100):4; EMA(5,100):3; SMA(5,20):3; EMA(5,50):2"
15m,2023,W2,8-14,25,25,"EMA(20,100)",20,100,12,0.5275,0.2011,"EMA(20,100):12; EMA(5,100):5; SMA(10,100):3; EMA(10,100):2; SMA(5,100):1"
15m,2023,W3,15-21,23,25,"EMA(20,100)",20,100,6,0.6017,0.1192,"EMA(20,100):6; EMA(5,100):4; SMA(5,100):3; SMA(20,50):2; SMA(10,100):2"
15m,2023,W4,22-28,19,25,"EMA(5,20)",5,20,5,0.1407,0.0244,"EMA(5,20):5; SMA(5,20):3; SMA(20,50):3; SMA(5,50):2; SMA(10,100):1"
15m,2024,W1,1-7,6,25,"SMA(20,100)",20,100,3,0.0007,-0.0351,"SMA(20,100):3; EMA(10,100):1; SMA(20,50):1; SMA(10,20):1"
15m,2024,W2,8-14,8,25,"SMA(10,100)",10,100,2,0.1426,0.0344,"SMA(10,100):2; EMA(20,50):1; EMA(10,100):1; SMA(10,50):1; SMA(20,50):1"
15m,2024,W3,15-21,11,25,"EMA(20,100)",20,100,3,0.2494,0.0181,"EMA(20,100):3; SMA(20,100):2; SMA(5,100):2; SMA(5,20):1; SMA(20,50):1"
15m,2024,W4,22-28,11,25,"SMA(10,20)",10,20,4,0.094,0.0141,"SMA(10,20):4; SMA(5,20):3; EMA(5,20):2; SMA(10,50):1; SMA(10,100):1"
15m,2025,W1,1-7,4,25,"SMA(5,20)",5,20,4,0.0,-0.0062,"SMA(5,20):4"
15m,2025,W2,8-14,25,25,"SMA(20,50)",20,50,8,0.5907,0.0846,"SMA(20,50):8; SMA(10,50):4; EMA(5,50):3; EMA(10,50):2; SMA(5,50):2"
15m,2025,W3,15-21,25,25,"EMA(10,20)",10,20,6,0.358,0.0507,"EMA(10,20):6; SMA(5,50):5; SMA(10,50):3; SMA(20,50):3; EMA(10,50):2"
15m,2025,W4,22-28,1,25,"EMA(10,100)",10,100,1,0.0995,0.0238,"EMA(10,100):1"
15m,2026,W1,1-7,6,25,"SMA(10,20)",10,20,3,0.005,0.0014,"SMA(10,20):3; EMA(5,20):2; EMA(10,20):1"
15m,2026,W2,8-14,17,25,"EMA(5,100)",5,100,4,0.6143,0.1717,"EMA(5,100):4; EMA(20,100):4; EMA(10,100):4; EMA(5,50):1; EMA(20,50):1"
15m,2026,W3,15-21,22,25,"SMA(10,20)",10,20,5,0.251,0.0149,"SMA(10,20):5; EMA(5,20):4; SMA(5,100):3; SMA(20,50):3; SMA(20,100):2"
15m,2026,W4,22-28,22,25,"SMA(10,20)",10,20,5,0.3471,0.0466,"SMA(10,20):5; SMA(5,20):3; SMA(20,100):2; EMA(10,100):2; EMA(20,50):2"
1d,2021,W1,1-7,23,25,"SMA(5,50)",5,50,3,0.9045,1.3098,"SMA(5,50):3; SMA(5,20):3; EMA(5,100):2; EMA(20,100):2; EMA(5,20):2"
1d,2021,W2,8-14,24,25,"SMA(5,20)",5,20,3,1.0,1.3425,"SMA(5,20):3; SMA(5,50):3; EMA(5,20):3; SMA(5,100):2; EMA(20,100):2"
1d,2021,W3,15-21,25,25,"SMA(5,50)",5,50,4,0.4,1.4117,"SMA(5,50):4; SMA(5,20):3; EMA(5,20):3; SMA(10,20):3; SMA(20,100):2"
1d,2021,W4,22-28,23,25,"SMA(5,50)",5,50,4,0.9997,2.2329,"SMA(5,50):4; SMA(5,100):3; EMA(5,100):2; EMA(20,100):2; SMA(5,20):2"
1d,2022,W1,1-7,7,25,"SMA(5,20)",5,20,3,0.5347,0.5059,"SMA(5,20):3; SMA(10,20):2; EMA(20,100):1; SMA(20,100):1"
1d,2022,W2,8-14,7,25,"SMA(20,50)",20,50,2,0.5714,1.2885,"SMA(20,50):2; EMA(20,100):1; EMA(5,20):1; SMA(10,100):1; SMA(10,20):1"
1d,2022,W3,15-21,6,25,"SMA(10,20)",10,20,4,0.0,-0.056,"SMA(10,20):4; SMA(10,50):1; SMA(20,50):1"
1d,2022,W4,22-28,1,25,"SMA(20,50)",20,50,1,0.0,-0.4139,"SMA(20,50):1"
1d,2023,W1,1-7,24,25,"SMA(5,20)",5,20,13,0.3624,0.0988,"SMA(5,20):13; SMA(10,20):5; SMA(5,50):3; EMA(5,20):2; SMA(5,100):1"
1d,2023,W2,8-14,25,25,"SMA(5,20)",5,20,14,0.9471,0.4526,"SMA(5,20):14; SMA(10,20):6; EMA(5,20):4; SMA(5,50):1"
1d,2023,W3,15-21,25,25,"SMA(5,20)",5,20,14,1.0,0.622,"SMA(5,20):14; SMA(10,20):5; EMA(5,20):4; SMA(5,50):2"
1d,2023,W4,22-28,25,25,"SMA(5,20)",5,20,17,1.0,0.6889,"SMA(5,20):17; SMA(10,20):3; EMA(5,20):1; EMA(10,20):1; SMA(5,100):1"
1d,2024,W1,1-7,24,25,"SMA(5,50)",5,50,6,0.25,1.0871,"SMA(5,50):6; EMA(20,100):3; EMA(10,20):3; EMA(5,50):2; SMA(10,50):2"
1d,2024,W2,8-14,23,25,"EMA(10,20)",10,20,3,0.8591,0.8347,"EMA(10,20):3; SMA(5,50):3; SMA(20,50):3; EMA(20,100):3; EMA(20,50):2"
1d,2024,W3,15-21,21,25,"SMA(5,100)",5,100,4,0.6949,0.8585,"SMA(5,100):4; EMA(20,100):4; EMA(5,50):2; EMA(10,50):2; SMA(10,100):2"
