cadence,year,slice,sym,trailing_perf,best_ti,fast,slow,captured_return,perfect_return,capture_rate
15m,2020,W1,BCHUSDT,0.0992,"EMA(5,50)",5,50,0.0016,0.1038,0.0151
15m,2020,W1,LTCUSDT,0.0352,"EMA(20,100)",20,100,0.0238,0.0526,0.4528
15m,2020,W1,DASHUSDT,-0.0035,"SMA(5,20)",5,20,0.0,0.0167,0.0
15m,2020,W1,TRXUSDT,-0.009,"SMA(20,50)",20,50,-0.0048,0.017,0.0
15m,2020,W2,DASHUSDT,0.6284,"SMA(20,50)",20,50,0.3801,0.7972,0.4768
15m,2020,W2,BCHUSDT,0.4337,"SMA(10,50)",10,50,0.3181,0.5097,0.6242
15m,2020,W2,ETCUSDT,0.3826,"SMA(20,50)",20,50,0.2481,0.4367,0.568
15m,2020,W2,LTCUSDT,0.2548,"SMA(20,50)",20,50,0.1749,0.3292,0.5313
15m,2020,W2,ZECUSDT,0.19,"SMA(10,20)",10,20,0.0226,0.19,0.1187
15m,2020,W2,TRXUSDT,0.1672,"SMA(5,50)",5,50,0.141,0.2226,0.6334
15m,2020,W2,XLMUSDT,0.079,"EMA(5,20)",5,20,0.004,0.0799,0.0499
15m,2020,W2,BTCUSDT,0.0683,"EMA(10,20)",10,20,0.0898,0.1468,0.6119
15m,2020,W2,LINKUSDT,0.0486,"SMA(20,50)",20,50,0.0868,0.1005,0.8637
15m,2020,W3,ETCUSDT,0.3174,"EMA(20,100)",20,100,0.0336,0.3174,0.1057
15m,2020,W3,XLMUSDT,0.1957,"SMA(10,20)",10,20,-0.0019,0.2186,0.0
15m,2020,W3,ZECUSDT,0.1373,"SMA(10,50)",10,50,0.0135,0.149,0.0904
15m,2020,W3,LINKUSDT,0.126,"SMA(10,20)",10,20,0.0064,0.1667,0.0386
15m,2020,W3,DASHUSDT,0.1012,"EMA(5,20)",5,20,0.0042,0.2012,0.0208
15m,2020,W3,ADAUSDT,0.0939,"SMA(10,20)",10,20,0.0131,0.102,0.1289
15m,2020,W3,BNBUSDT,0.0486,"EMA(5,50)",5,50,0.054,0.1103,0.4893
15m,2020,W3,TRXUSDT,0.0389,"SMA(20,50)",20,50,0.0496,0.0736,0.6737
15m,2020,W3,XRPUSDT,0.0349,"SMA(20,100)",20,100,0.0152,0.0565,0.2691
15m,2020,W3,ETHUSDT,0.0247,"SMA(5,100)",5,100,0.0206,0.065,0.3163
15m,2020,W3,ATOMUSDT,0.0061,"SMA(20,50)",20,50,0.0334,0.0832,0.402
15m,2020,W3,ALGOUSDT,0.002,"SMA(10,50)",10,50,0.0415,0.0707,0.5872
15m,2020,W3,BTCUSDT,-0.0111,"EMA(5,20)",5,20,0.0061,0.0251,0.2423
15m,2020,W3,LTCUSDT,-0.013,"SMA(10,50)",10,50,0.0093,0.0494,0.1881
15m,2020,W3,BCHUSDT,-0.0227,"EMA(10,50)",10,50,0.0032,0.0956,0.0339
15m,2020,W4,ETCUSDT,0.2687,"SMA(10,100)",10,100,0.3533,0.4339,0.8142
15m,2020,W4,ADAUSDT,0.1471,"EMA(5,100)",5,100,0.2151,0.2829,0.7603
15m,2020,W4,BCHUSDT,0.101,"SMA(10,20)",10,20,0.0314,0.2667,0.1177
15m,2020,W4,TRXUSDT,0.0742,"EMA(10,50)",10,50,0.1495,0.1906,0.7847
15m,2020,W4,BTCUSDT,0.0739,"EMA(10,100)",10,100,0.1218,0.1385,0.8797
15m,2020,W4,ZECUSDT,0.0681,"SMA(5,20)",5,20,0.03,0.2311,0.1299
15m,2020,W4,LTCUSDT,0.051,"EMA(5,20)",5,20,0.0317,0.1845,0.1718
15m,2020,W4,DASHUSDT,0.0427,"SMA(5,20)",5,20,0.0182,0.2285,0.0798
15m,2020,W4,ETHUSDT,0.0366,"SMA(20,100)",20,100,0.092,0.1281,0.7185
15m,2020,W4,XRPUSDT,0.0066,"SMA(5,100)",5,100,0.0841,0.1166,0.7213
15m,2020,W4,BNBUSDT,-0.0032,"EMA(20,100)",20,100,0.0618,0.098,0.6309
15m,2020,W4,LINKUSDT,-0.0069,"EMA(20,100)",20,100,0.0704,0.1197,0.5877
15m,2020,W4,ATOMUSDT,-0.0136,"SMA(20,100)",20,100,0.0221,0.0536,0.4122
15m,2020,W4,ALGOUSDT,-0.021,"EMA(20,100)",20,100,0.027,0.057,0.4747
15m,2020,W4,XLMUSDT,-0.0341,"EMA(20,100)",20,100,0.0657,0.1043,0.6299
15m,2021,W1,ETHUSDT,0.6748,"EMA(20,100)",20,100,0.6316,0.7084,0.8916
15m,2021,W1,SOLUSDT,0.4962,"SMA(10,100)",10,100,0.0972,0.4966,0.1956
15m,2021,W1,XRPUSDT,0.4957,"SMA(5,100)",5,100,0.415,0.4959,0.8369
15m,2021,W1,BTCUSDT,0.3732,"SMA(5,100)",5,100,0.2483,0.3732,0.6652
